id,board_num,code,school_name,addr1,addr2,tel,fax,email,start_grade,end_grade,created_at,updated_at,lat,long,postal_code,ab_achievement,ic_achievement,ab_math,ic_math,ab_language,ic_language,ab_science,ic_science,ab_engagement,ic_engagement,ab_grade12mo,ic_grade12mo,ab_attendance,ic_attendance,ab_overall_perf,ic_overall_perf,enrolment,PTR,SES,feeder_ach
9,54,97,AUBURN DRIVE HIGH SCHOOL ,300 AUBURN DR ,COLE HARBOUR NS ,902-462-6900,902-462-6950,ADHS@HRSB.NS.CA ,10,12,NULL,18/11/09 18:49,44.65,-63.48,B2W 6E9,12,10,3,7,7,7,3,8,2,9,4,4,7,8,8,12,5,11,4,12
27,54,358,CHARLES P. ALLEN HIGH SCHOOL ,670 ROCKY LAKE DR ,BEDFORD NS ,902-832-8964,902-832-8981,CPAH@HRSB.NS.CA ,10,12,NULL,18/11/09 18:50,44.75,-63.64,B4A 2T6,3,11,4,3,9,5,7,6,9,3,3,3,3,4,5,12,8,11,3,5
29,54,1109,CITADEL HIGH SCHOOL ,1855 TROLLOPE ST ,HALIFAX NS ,902-491-4444,902-491-1700,CHS@HRSB.NS.CA ,10,12,NULL,18/11/09 18:50,44.65,-63.59,B3H 0A4,8,5,1,6,2,3,12,5,2,7,5,2,4,6,12,11,2,6,10,7
59,54,592,HALIFAX WEST HIGH SCHOOL ,283 THOMAS RADDALL DR ,HALIFAX NS ,902-457-8900,902-457-8980,HWHS@HRSB.NS.CA ,10,12,NULL,18/11/09 18:51,44.66,-63.66,B3S 1R1,8,9,9,11,4,10,9,8,3,6,11,8,9,2,8,8,1,5,7,2
84,54,968,LOCKVIEW HIGH SCHOOL ,148 LOCKVIEW RD ,FALL RIVER NS ,902-860-6000,902-860-6005,LHS@HRSB.NS.CA ,9,12,NULL,18/11/09 18:51,44.82,-63.62,B2T 1J1,7,2,12,12,8,13,4,2,9,4,10,2,8,5,7,6,9,13,9,9
32,54,357,COLE HARBOUR DISTRICT HIGH SCHOOL ,2 CHAMEAU CRES ,DARTMOUTH NS ,902-464-5220,902-464-5241,CHDHS@HRSB.NS.CA ,10,12,NULL,18/11/09 18:50,44.68,-63.49,B2W 4X4,8,3,13,13,9,1,5,3,10,5,11,3,9,6,8,7,10,1,10,10
37,54,518,DARTMOUTH HIGH SCHOOL ,95 VICTORIA RD ,DARTMOUTH NS ,902-464-2457,902-464-2384,DHS@HRSB.NS.CA ,10,12,NULL,18/11/09 18:50,44.67,-63.57,B3A 1V2,9,4,1,1,10,2,6,4,11,6,12,4,10,7,9,8,11,2,11,11
39,54,328,DUNCAN MACMILLAN HIGH SCHOOL ,481 CHURCH POINT RD ,SHEET HARBOUR NS ,902-885-2777,902-885-2790,DMHS@HRSB.NS.CA ,7,12,NULL,18/11/09 18:50,44.92,-62.52,B0J 3B0,10,5,2,2,11,3,7,5,12,7,13,5,11,8,10,9,12,3,12,12
44,54,334,EASTERN SHORE DISTRICT HIGH SCHOOL ,35 WEST PETPESWICK RD ,MUSQUODOBOIT HBR NS ,902-889-4025,902-889-4037,ESDH@HRSB.NS.CA ,10,12,NULL,18/11/09 18:50,44.78,-63.15,B0J 2L0,11,6,3,3,12,4,8,6,13,8,1,6,12,9,11,10,13,4,13,13
88,54,745,MILLWOOD HIGH SCHOOL ,141 MILLWOOD DR ,LR SACKVILLE NS ,902-864-7535,902-864-7567,MWHS@HRSB.NS.CA ,10,12,NULL,18/11/09 18:51,44.79,-63.71,B4E 0A1,12,7,4,4,13,5,9,7,1,9,2,7,13,10,12,11,1,5,1,1
90,54,1149,MUSQUODOBOIT RURAL HIGH SCHOOL ,BOX 95 ,MIDDLE MUSQUODOBOIT NS,902-384-2320,902-384-2321,MRHS@HRSB.NS.CA ,7,12,NULL,18/11/09 18:51,45.05,-63.16,B0N 1X0,13,8,5,5,1,6,10,8,2,10,3,8,1,11,13,12,2,6,2,2
100,54,533,PRINCE ANDREW HIGH SCHOOL ,31 WOODLAWN RD ,DARTMOUTH NS ,902-435-8452,902-435-8398,PAH@HRSB.NS.CA ,10,12,NULL,18/11/09 18:51,44.68,-63.53,B2W 2R7,1,9,6,6,2,7,11,9,3,11,4,9,2,12,1,13,3,7,3,3
111,54,297,SACKVILLE HIGH SCHOOL ,1 KINGFISHER WAY ,LR SACKVILLE NS ,902-864-6700,902-864-6710,SHS@HRSB.NS.CA ,10,12,NULL,18/11/09 18:52,44.78,-63.67,B4C 2Y9,2,10,7,7,3,8,12,10,4,12,5,10,3,13,2,1,4,8,4,4
119,54,277,SIR JOHN A. MACDONALD HIGH SCHOOL ,31 SCHOLARS RD ,UPPER TANTALLON NS ,902-826-3222,902-826-3220,SJA@HRSB.NS.CA ,10,12,NULL,18/11/09 18:52,44.7,-63.86,B3Z 0C3,3,11,8,8,4,9,13,11,5,13,6,11,4,1,3,2,5,9,5,5
127,54,580,ST. JOSEPH'S-ALEXANDER MCKAY SCHOOL ,5389 RUSSELL ST ,HALIFAX NS ,902-493-5180,902-493-5186,SJAM@HRSB.NS.CA ,PR,6,NULL,18/11/09 18:52,44.66,-63.6,B3K 1W8,4,12,9,9,5,10,1,12,6,1,7,12,5,2,4,3,6,10,6,6
